input_text,target_text,direction,source,confidence_score,input_length,target_length,word_count_input,word_count_target
Fine,"[Damn], [that man] is [so fine]!",slang_to_standard,urban_dictionary_mega,0.0,4,32,1,6
masenta,that has,slang_to_standard,urban_dictionary_mega,0.0,7,8,1,2
dead sailor,When you are having and it in,slang_to_standard,urban_dictionary_mega,0.0,11,29,2,7
diddo,** acronym for dad I'd do ** male version of a superior term to describe a because it offers easy pronounceability and is compliant,slang_to_standard,urban_dictionary_mega,0.0,5,131,1,24
school,"Hey [brayden] lets go to school, [ooh] i mean [prison].",slang_to_standard,urban_dictionary_mega,0.0,6,55,1,10
Huge spider web,A giant web that has been waiting all its life for you to accidentally run into and about having a on you for the next,slang_to_standard,urban_dictionary_mega,0.0,15,118,3,25
Huge spider web,A [huge spider web] is also called [future] [anxiety],slang_to_standard,urban_dictionary_mega,0.0,15,53,3,9
ggs spaghetti beans,A used by,slang_to_standard,urban_dictionary_mega,0.0,19,9,3,3
ggs spaghetti beans,This phrase was used by a famous youtuber who is [cracked at fortnite] and [cranks] [90's] on spaghetti beans. ggs spaghetti beans,slang_to_standard,urban_dictionary_mega,0.0,19,130,3,22
Brittinie,She is a wonderful lover,slang_to_standard,urban_dictionary_mega,0.0,9,24,1,5
koeiniggasex,"A word used community, another word for “Koeinisegg”",slang_to_standard,urban_dictionary_mega,0.0,12,52,1,8
Craigslist Cunt,"A woman who trolls for lonely guys on ""women seeking men""",slang_to_standard,urban_dictionary_mega,0.0,15,57,2,11
Craigslist Cunt,"""The other night, I was online with a really [nice girl]. We were [chatting] for 6 hours, then she was gone. [Never heard] back.""

""Sound like you got drop-kicked by a Craigslist Cunt. Too bad.""",slang_to_standard,urban_dictionary_mega,0.0,15,194,2,35
Boyfriend,"A boy who is caring, kind, sweet, and loving to a girl",slang_to_standard,urban_dictionary_mega,0.0,9,54,1,12
foodsexual,when someone is apparently sexually attracted,slang_to_standard,urban_dictionary_mega,0.0,10,45,1,6
dirty zain,A tall who will steal ur kids so look out little youngsters a dirty will you up for a laugh,slang_to_standard,urban_dictionary_mega,0.0,10,91,2,20
Down Horrendous,"Man 1- i’m you, i’ll do anything just to money Man 2- Bro your “Down Horrendous”",slang_to_standard,urban_dictionary_mega,0.0,15,80,2,16
Down Horrendous,[This man] is Down Horrendous,slang_to_standard,urban_dictionary_mega,0.0,15,29,2,5
joog,"Used in the area as: A drug addict, somewhere between the age of 18-30",slang_to_standard,urban_dictionary_mega,0.0,4,70,1,14
joog,"R: We shouldn't of invited Phil over.

S:Why? Did he [pinch] from your weed sack again?

R: Yeah, that and he stole my 80 fuckin [cents] I had sitting on the counter, probably to buy more pills or crack

S: He certainly is a [text-book] joog.",slang_to_standard,urban_dictionary_mega,0.0,4,242,1,46
weed,"a , at , you will laugh a lot when your using it, you eat a fuck load, heaven",slang_to_standard,urban_dictionary_mega,0.0,4,77,1,19
weed,[bob marley] is the [weed king] [son],slang_to_standard,urban_dictionary_mega,0.0,4,37,1,7
xyrow,"A sweet, caring and intelligent person; but lacks social abilities and easily gives up on life",slang_to_standard,urban_dictionary_mega,0.0,5,94,1,16
xyrow,[Who is] [Xyrow],slang_to_standard,urban_dictionary_mega,0.0,5,16,1,3
mort,mort comes from the words combined might and more,slang_to_standard,urban_dictionary_mega,0.0,4,49,1,9
Zach,A man who generates sheer epic fucking history,slang_to_standard,urban_dictionary_mega,0.0,4,46,1,8
Zach,"""Those stars sure are [shining] Zach tonight"".

""[If only] I could [gaze] to the awe that is Zach without this protective eye-wear"".",slang_to_standard,urban_dictionary_mega,0.0,4,132,1,22
oplamma,"chocolate cake which is inserted into the vaginal and then wait 5 minutes until it is warm, then it is by the person of her choice",slang_to_standard,urban_dictionary_mega,0.0,7,130,1,26
Brandon,birthday is always around the corner,slang_to_standard,urban_dictionary_mega,0.0,7,36,1,6
Brandon,"Person 1: Brandon I will [spill] your [beans].
Person 2: You won't have any [birthdays] next year.
Person 3: and that's a promise.",slang_to_standard,urban_dictionary_mega,0.0,7,132,1,23
Lucesoli,"Lucesoli is a Northern-Argentinian word created on , 1992",slang_to_standard,urban_dictionary_mega,0.0,8,57,1,9
Lucesoli,"""[Wait], that guy is named Lucesoli? [Ida], I think you should [marry] him!""",slang_to_standard,urban_dictionary_mega,0.0,8,76,1,13
shuvle butt,"A woman who has a butt that resembles that of a shuvle, usually entailing no """" at the bottom of said butt",slang_to_standard,urban_dictionary_mega,0.0,11,106,2,22
Normie,Normie= is,slang_to_standard,urban_dictionary_mega,0.0,6,10,1,2
Normie,"Joe:[look at this] [meme] guys
Plumroasters:Man f*** of [normie]",slang_to_standard,urban_dictionary_mega,0.0,6,65,1,9
sarcastard,sar-'kas-terd n,slang_to_standard,urban_dictionary_mega,0.0,10,15,1,2
Woman Alpha,"A Woman ’ describes the value society can achieve by focusing on and empowering more women to be active in technology, and business",slang_to_standard,urban_dictionary_mega,0.0,11,131,2,23
Woman Alpha,"[Louisa] is a woman alpha because she empowers society by being active within her finances.
[Abi] is a woman alpha because she empowers society by applying her skills within the technology industry
Emily is a woman alpha because she empowers society by applying her skills within the business industry.
Asia is a woman alpha because she supports other women to become more active in technology, [finance] and business.",slang_to_standard,urban_dictionary_mega,0.0,11,421,2,68
Etain,"An old Irish name, meaning 'shining star",slang_to_standard,urban_dictionary_mega,0.0,5,40,1,7
Etain,[My best friend] is [called] Etain.,slang_to_standard,urban_dictionary_mega,0.0,5,35,1,6
jennababe,the most alternative and man and dude,slang_to_standard,urban_dictionary_mega,0.0,9,37,1,7
IIRC,"Acronym for If (, if you yer own farts) Correctly",slang_to_standard,urban_dictionary_mega,0.0,4,49,1,10
Auctorporcus,"Deriving from the words ""auctoritas"" and "","" this word can be used in place of """,slang_to_standard,urban_dictionary_mega,0.0,12,80,1,16
Cracker,To describe of America that still conform to the ideology that they are superior to blacks,slang_to_standard,urban_dictionary_mega,0.0,7,90,1,16
Cracker,"""Man that dude is a cracker, at Harvard and shit""
""Actually, he is not, he wrote an excellent thesis on the positives of [affirmative action], and how it benefits society as a whole. We must move forward together as [one nation] and no longer be a socio-economic [fragmented] society. We must no longer politically and economically marginalise the Black, Hispanic and Native American communities. America is great, but it could be greater, for we are only as great as our most impovershed peoples.",slang_to_standard,urban_dictionary_mega,0.0,7,498,1,83
that's where I'm a viking,Used to describe some skill or ability that one excels in,slang_to_standard,urban_dictionary_mega,0.0,25,57,5,11
Frazel,Frazel is the ship of and from the Percy Jackson Heroes of Olympus series,slang_to_standard,urban_dictionary_mega,0.0,6,73,1,14
Farewell golden,Farewell golden (abbreviated 'fwg') is a in Celeste,slang_to_standard,urban_dictionary_mega,0.0,15,51,2,8
Like,"For lazy ""like"" takes the place of most and adverbs in a sentence and used repetitively throughout a causing the statement to be much longer than it needs to be",slang_to_standard,urban_dictionary_mega,0.0,4,160,1,30
Pubg,"A dick game, it's a survivel game, free and better so download fortnite in your PC or or / s/ x",slang_to_standard,urban_dictionary_mega,0.0,4,95,1,21
Pubg,[Fortnite is] [better than] [pubg],slang_to_standard,urban_dictionary_mega,0.0,4,34,1,5
Chinkenstein,One who is and of,slang_to_standard,urban_dictionary_mega,0.0,12,17,1,5
Chinkenstein,[Chow's] dad is Chinese and his mom is [Jewish]. That makes him a [chinkenstein]!,slang_to_standard,urban_dictionary_mega,0.0,12,81,1,14
SgtSlaughter,Known to distribute and gudhax,slang_to_standard,urban_dictionary_mega,0.0,12,30,1,5
Neutrality,"Having no on something one way or another, being neutral",slang_to_standard,urban_dictionary_mega,0.0,10,56,1,10
Jack,A person Tayondee doesn't because she's him,slang_to_standard,urban_dictionary_mega,0.0,4,43,1,7
doggy door,an for the,slang_to_standard,urban_dictionary_mega,0.0,10,10,2,3
Doucheout,A contest between two which one is most,slang_to_standard,urban_dictionary_mega,0.0,9,39,1,8
Winger,who takes under their,slang_to_standard,urban_dictionary_mega,0.0,6,21,1,4
Pulled a Nelson,When you with no intentions of actually showing up and those who the plans are with for at least two days,slang_to_standard,urban_dictionary_mega,0.0,15,105,3,21
Russell,A fatherly always there to you,slang_to_standard,urban_dictionary_mega,0.0,7,30,1,6
chad,"Counsil House And Dangeous, Basically A chav, But Worse",slang_to_standard,urban_dictionary_mega,0.0,4,55,1,9
chad,"OMG, Youu Know That Lad [Chas],

Yeah...

He's [A Chad]

OMG DAT IS [WELL BAD] :O",slang_to_standard,urban_dictionary_mega,0.0,4,87,1,16
v-cheese,(noun) manufactured in the,slang_to_standard,urban_dictionary_mega,0.0,8,26,1,4
v-cheese,I woke up this morning all [hung over] to [find my] [skeezer] roommate her left v-cheese panties on the bathroom floor.,slang_to_standard,urban_dictionary_mega,0.0,8,119,1,21
Twitchslap,A is when a friend/family member/girlfriend/ your business on Twitter,slang_to_standard,urban_dictionary_mega,0.0,10,69,1,10
Twitchslap,Did you see [that fool] got twitchslapped from his [GF] last [week]?,slang_to_standard,urban_dictionary_mega,0.0,10,68,1,12
#BLM,It for,slang_to_standard,urban_dictionary_mega,0.0,4,6,1,2
rekenork,"to or , as in a room or a plan; typically said in",slang_to_standard,urban_dictionary_mega,0.0,8,49,1,13
rekenork,[We need] to rekenork this whole place--I can't [stand] it [anymore].,slang_to_standard,urban_dictionary_mega,0.0,8,69,1,11
psbmzywpdvmortqpzccoamfy,", you've wasted finding on the urban dictionary",slang_to_standard,urban_dictionary_mega,0.0,24,47,1,8
brolepathy,When to are on the same or know what the other thinking,slang_to_standard,urban_dictionary_mega,0.0,10,55,1,12
stu'd,(verb) The act of a goal or in a event on TV because one was out of the room,slang_to_standard,urban_dictionary_mega,0.0,5,76,1,19
Sean,He is and has,slang_to_standard,urban_dictionary_mega,0.0,4,13,1,4
TERF,Trans-Exclusionary,slang_to_standard,urban_dictionary_mega,0.0,4,18,1,1
TERF,Isn't it mindboggling that the Royal College of Psychiatrists would invite a TERF like Julie [Bindel] to come talk at a study day on [transgenderism] and transsexuality? That's like inviting [Fred Phelps] to come deliver the keynote at a gay pride.,slang_to_standard,urban_dictionary_mega,0.0,4,248,1,41
Balls,like her,slang_to_standard,urban_dictionary_mega,0.0,5,8,1,2
10 kinds,To involve oneself in encounters,slang_to_standard,urban_dictionary_mega,0.0,8,32,2,5
*dies*,"Commonly used on forums, ** indicates the act of dying in a environment",slang_to_standard,urban_dictionary_mega,0.0,6,71,1,13
Sticky Windshield,"When you shoot cum on a persons glasses while they are wearing them, then rub your penis all over them it",slang_to_standard,urban_dictionary_mega,0.0,17,105,2,21
stunna chain,chains can be worn with your to get the ultimate look,slang_to_standard,urban_dictionary_mega,0.0,12,53,2,11
stunna chain,"damn, look at [homeboi] wit his [stunna] shade and stunna chain..yea he must ride [the yellow] bus:)",slang_to_standard,urban_dictionary_mega,0.0,12,100,2,17
Pillsburydoughboysno.1,One of my favourite,slang_to_standard,urban_dictionary_mega,0.0,22,19,1,4
Pillsburydoughboysno.1,Pillsburydoughboysno.1 is an [amazing] [mutual]!,slang_to_standard,urban_dictionary_mega,0.0,22,48,1,5
BLUUNT,Acronym: Better Luck (2 U) Next Time,slang_to_standard,urban_dictionary_mega,0.0,6,36,1,7
PooP Deee,A feeling of extreme constipation which suddenly explodes into your toilet bowl,slang_to_standard,urban_dictionary_mega,0.0,9,79,2,12
Avexxis,A person who smoke of weed and 360s,slang_to_standard,urban_dictionary_mega,0.0,7,35,1,8
Avexxis,[thats] such an [avexxis] thing to say while doing [all that].,slang_to_standard,urban_dictionary_mega,0.0,7,62,1,11
aleegum,is very caring she is a very fun person to be around but beware does not tolerate fake friends once you get on her bad side there is no coming out,slang_to_standard,urban_dictionary_mega,0.0,7,146,1,31
aphelion,The point during of a body at which it is furthest from its star,slang_to_standard,urban_dictionary_mega,0.0,8,64,1,14
aphelion,"Whenever the Earth is at aphelion, [the local] [pagans] hold a [festival].",slang_to_standard,urban_dictionary_mega,0.0,8,74,1,12
business tropical,"A style of dress on the spectrum of , business formal, and",slang_to_standard,urban_dictionary_mega,0.0,17,58,2,12
business tropical,"The meeting with [the potential] investors is on Saturday, followed by a [barbecue]. [Dress] is business tropical.",slang_to_standard,urban_dictionary_mega,0.0,17,114,2,17
1066,"Sexual act in reference to the , where a man shoots his 'load' onto a girls' eye(s), similar to getting during the battle",slang_to_standard,urban_dictionary_mega,0.0,4,121,1,23
celena,Most likely the in the world,slang_to_standard,urban_dictionary_mega,0.0,6,28,1,6
The Dave,A sexual act in which you wait until your partner fully undresses then you sit down on the edge of the bed and convince them that your life is worthless because you are the worst off person in the world,slang_to_standard,urban_dictionary_mega,0.0,8,202,2,40
The Dave,[Dave] [Castleberry] is The Dave,slang_to_standard,urban_dictionary_mega,0.0,8,32,2,5
Ear Cancer,the feeling you get when someone talking to you has bored you to and then to talk and talk until you would rather lose your hearing due to an then listen to another word,slang_to_standard,urban_dictionary_mega,0.0,10,169,2,34
Ear Cancer,"""In mathematics, [the Pythagorean theorem] or [Pythagoras' theorem] is a relation in Euclidean geometry among the three sides of a right triangle. The theorem is named after the Greek mathematician Pythagoras, who by tradition is credited with its discovery, although knowledge of the theorem almost certainly predates him.
[The Pythagorean theorem]: The sum of the areas of the two squares on the legs (a and b) equals the area of the square on the [hypotenuse] (c).

The theorem is as follows:

        In any right triangle, the area of the square whose side is the hypotenuse (the side of a right triangle opposite the right angle) is equal to the sum of areas of the squares whose sides are the two legs (i.e. the two sides other than the hypotenuse).

If we let c be the length of the hypotenuse and a and b be the lengths of the other two sides, the theorem can be expressed as the equation

    a^2 + b^2 = [c^2]. \,

This equation provides a simple relation among the three sides of a right triangle so that if the lengths of any two sides are known, the length of the third side can be found. A generalization of this theorem is the law of cosines, which allows the computation of the length of the third side of any triangle, given the lengths of two sides and the size of the angle between them.

This theorem may have more known proofs than any other. [The Pythagorean] Proposition, a book published in 1940, contains 370 proofs of Pythagoras' theorem, including one by American President James Garfield.

The converse of the theorem is also true:-

        For any three positive numbers a, b, and c such that a² + b² = c², there exists a triangle with sides a, b and c, and every such triangle has a right angle between the sides of lengths a and b.
""

OMG shutup I am getting [ear cancer]!",slang_to_standard,urban_dictionary_mega,0.0,10,1825,2,326
riceblades11,he has a,slang_to_standard,urban_dictionary_mega,0.0,12,8,1,3
[Dalmatian],A white person who has of them,slang_to_standard,urban_dictionary_mega,0.0,11,30,1,7
Wingboner,"Derived from the show ""My Little Pony: Friendship is Magic,"" a refers to a pegasus experiencing an involuntary flaring of his/her wings upon arousal",slang_to_standard,urban_dictionary_mega,0.0,9,148,1,24
Turned the Corner,all night and then not and continuing the party into,slang_to_standard,urban_dictionary_mega,0.0,17,52,3,10
Rimil-tide,A rimile-tide is where a guy sits on a girls tits and jumps on them to make the girls tits to and out like the,slang_to_standard,urban_dictionary_mega,0.0,10,110,1,25
pubesent man,Such a high balling unit that they are always a top g,slang_to_standard,urban_dictionary_mega,0.0,12,53,2,12
pubesent man,[holy guacamole] is that a pubesent man!,slang_to_standard,urban_dictionary_mega,0.0,12,40,2,7
Occuboinkal,"The objectively greatest Made Up Word in the history of , leagues better than could ever hope to be, and if you think otherwise you're",slang_to_standard,urban_dictionary_mega,0.0,11,134,1,25
Occuboinkal,"""Occuboinkal is [way better] than [Scrumtush]""",slang_to_standard,urban_dictionary_mega,0.0,11,46,1,6
Swagg,"An , , or",slang_to_standard,urban_dictionary_mega,0.0,5,9,1,4
noellestan,one of 🕵️ ♂️ the amount of glitches they have is a bit but theyre still funny,slang_to_standard,urban_dictionary_mega,0.0,10,77,1,17
noellestan,why doesn’t noellestan have any [definitions] yet i feel like i have [accomplished] [smth] by writing the first one,slang_to_standard,urban_dictionary_mega,0.0,10,115,1,19
madmattco,The sexiest motherfucker alive to date,slang_to_standard,urban_dictionary_mega,0.0,9,38,1,6
madmattco,madmattco is [the best],slang_to_standard,urban_dictionary_mega,0.0,9,23,1,4
Goose,"a or """"",slang_to_standard,urban_dictionary_mega,0.0,5,7,1,3
gross,what I feel after I read,slang_to_standard,urban_dictionary_mega,0.0,5,24,1,6
Mason moo,A boy who is called he also loves and loves the,slang_to_standard,urban_dictionary_mega,0.0,9,47,2,11
Mason moo,Mason moo is [such a] [good guy],slang_to_standard,urban_dictionary_mega,0.0,9,32,2,7
TBS,awesome /,slang_to_standard,urban_dictionary_mega,0.0,3,9,1,2
bars,when you (or ) is off their,slang_to_standard,urban_dictionary_mega,0.0,4,27,1,7
who mans is this,boichicken2,slang_to_standard,urban_dictionary_mega,0.0,16,11,4,1
who mans is this,Why did he [name] his twittter who mans is this?,slang_to_standard,urban_dictionary_mega,0.0,16,48,4,10
Namjoon,He has an D like a,slang_to_standard,urban_dictionary_mega,0.0,7,18,1,6
Epiwreckedit seizure,During mid stroke simultaneously yell her sisters name while you shove it into her ass and her eyes,slang_to_standard,urban_dictionary_mega,0.0,20,99,2,18
kennytardd,of edits are just,slang_to_standard,urban_dictionary_mega,0.0,10,17,1,4
kennytardd,""""" yo bro you should see [kennytardd's] edits this [nga] [fye] af""",slang_to_standard,urban_dictionary_mega,0.0,10,66,1,12
WERD,An interjection used to express one's total disbelief of a situation or statement,slang_to_standard,urban_dictionary_mega,0.0,4,81,1,13
WERD,"[CWC] went up to everyone with Cerebal [Palsy] and said, ""I'm taking over your word [bizzatch]."" To this, Everybody with Cerebal Palsy replied ""WERD!""",slang_to_standard,urban_dictionary_mega,0.0,4,150,1,24
religion,"The same as """"",slang_to_standard,urban_dictionary_mega,0.0,8,14,1,4
isolitch,An that is,slang_to_standard,urban_dictionary_mega,0.0,8,10,1,3
isolitch,"He [reached] toward his [back], but the isolitch [remained].",slang_to_standard,urban_dictionary_mega,0.0,8,60,1,9
zexile,verb: to zexile To a from the room//apartment for the purpose of sleeping,slang_to_standard,urban_dictionary_mega,0.0,6,73,1,13
zexile,My [roommate] is going to zexile me because he [needs] to [sleep],slang_to_standard,urban_dictionary_mega,0.0,6,65,1,12
Duck,"ever!!! It is the best cause of its , wings and #DuckIsLife",slang_to_standard,urban_dictionary_mega,0.0,4,59,1,12
debtpression,When you're so broke you into a deep you from doing things you love and hanging out with people,slang_to_standard,urban_dictionary_mega,0.0,12,95,1,19
tennessee gold,"Good music, specifically good Country or music",slang_to_standard,urban_dictionary_mega,0.0,14,46,2,7
Pivot TV,An American digital cable and satellite television network owned by Participant Media,slang_to_standard,urban_dictionary_mega,0.0,8,85,2,12
Pivot TV,"With the launch, Pivot TV became the first television channel to offer broadband-only [subscriptions] that allows [live streaming] of the linear channel and video on demand offerings without requiring a subscription to [a pay] television service.3",slang_to_standard,urban_dictionary_mega,0.0,8,247,2,36
Dirty Mikinzi,she will you,slang_to_standard,urban_dictionary_mega,0.0,13,12,2,3
Ursari,The Ursari or Richinara are the traditionally occupational group of animal among the,slang_to_standard,urban_dictionary_mega,0.0,6,84,1,13
Ursari,He is an [honorable] Ursari.,slang_to_standard,urban_dictionary_mega,0.0,6,28,1,5
Londyn,Londyn is an amazing person with a great personality,slang_to_standard,urban_dictionary_mega,0.0,6,52,1,9
Londyn,Londyn is that her she is [just] the [worlds] [best person],slang_to_standard,urban_dictionary_mega,0.0,6,59,1,11
dwellerz,A gamer who is very goated at everything they play and is the ultimate and destroys and is goated with,slang_to_standard,urban_dictionary_mega,0.0,8,102,1,20
dwellerz,"Person 1: [OH NOOOO] i’ve been omega trolled
Person 2: It must have been dwellerz he is a [epik] [troller]
Person 1: Oh it is okay then",slang_to_standard,urban_dictionary_mega,0.0,8,137,1,27
Chaguay,Lovable people; Unknown origin,slang_to_standard,urban_dictionary_mega,0.0,7,30,1,4
configurashenanigans,A term used to describe a that is and/or for unnecessary organizations,slang_to_standard,urban_dictionary_mega,0.0,20,70,1,12
configurashenanigans,"Alex and [Vivian] were [comparing] how they set up their buddylists when Vivian remarked how Alex had [a waste] of space which Alex replied: ""just an example of my past buddylist configurashenanigans""",slang_to_standard,urban_dictionary_mega,0.0,20,200,1,32
plumbobbed,"to have , to her",slang_to_standard,urban_dictionary_mega,0.0,10,16,1,5
Ezhra,Hes a stupid bitch and all day and hes a stupid coconut ugly bitch ass ugly ass ugly fucking ugly,slang_to_standard,urban_dictionary_mega,0.0,5,97,1,20
Brandon,"He's a guy that loves his girlfriend and had a penis, he is probably your girlfriend right now with his glorious balls, he has humor and can make girls laugh, brandons seem to be shorter than the rest but can still kick if he wants to! Brandons are all a Mr",slang_to_standard,urban_dictionary_mega,0.0,7,257,1,51
Brandon,"I wished [i was like] Brandon... he gets all the girls...

i want [to be like] Brandon, he [beats] up everybody!",slang_to_standard,urban_dictionary_mega,0.0,7,112,1,21
Suraj,a slang term commonly used to describe a,slang_to_standard,urban_dictionary_mega,0.0,5,40,1,8
Suraj,"Wow that guy is such a [suraj], always [shacking up] with random girls and [bragging] about himself.",slang_to_standard,urban_dictionary_mega,0.0,5,100,1,17
Anzhané,Strong-Willed &,slang_to_standard,urban_dictionary_mega,0.0,7,15,1,2
digitoke,To smoke with a friend while with them via the internet from a different location,slang_to_standard,urban_dictionary_mega,0.0,8,81,1,15
Wiff waff,"of the term """,slang_to_standard,urban_dictionary_mega,0.0,9,13,2,4
scellato,A people have people have this last name,slang_to_standard,urban_dictionary_mega,0.0,8,40,1,8
genis,(Masculin) fatty lump in the lowest of a man,slang_to_standard,urban_dictionary_mega,0.0,5,44,1,9
genis,That [fat man] has a [huge] genis!,slang_to_standard,urban_dictionary_mega,0.0,5,34,1,7
weasel-tastic,of or to like,slang_to_standard,urban_dictionary_mega,0.0,13,13,1,4
feelins blableeblins,The of feelings due to,slang_to_standard,urban_dictionary_mega,0.0,20,22,2,5
Lenk,To describe a of proportions,slang_to_standard,urban_dictionary_mega,0.0,4,28,1,5
Lenk,"Geezer : *[parp]*
[Bredwin]: *sniff* ""Awwww mate, that fart is bare [LENK]!""",slang_to_standard,urban_dictionary_mega,0.0,4,77,1,12
blubber block,When your of a is covered by her friend,slang_to_standard,urban_dictionary_mega,0.0,13,39,2,9
Shitcoin,Any is a,slang_to_standard,urban_dictionary_mega,0.0,8,8,1,3
Shitcoin,"Hey I'm rich [shitcoin] and everyone loves me, [my dream] is to buy a Shitesla and never work in my life. - Damn it Mama! Where Is my fucking lunch? [Bububu]....",slang_to_standard,urban_dictionary_mega,0.0,8,161,1,31
Feddemi,A Feddemi is you're never quite sure if he or she secretly hates you,slang_to_standard,urban_dictionary_mega,0.0,7,68,1,14
BRFF,@bratishkinoff,slang_to_standard,urban_dictionary_mega,0.0,4,14,1,1
peerhassment,Aggressive pressure or using forced repetitive,slang_to_standard,urban_dictionary_mega,0.0,12,46,1,6
peerhassment,"After being subjected to [verbal waterboarding] by an overly aggressive healthcare company representative, the radiology director Amanda used revenge peerhassment on the referring [radiologist] by initiating software controlled [peer review] on every third case interpreted.",slang_to_standard,urban_dictionary_mega,0.0,12,274,1,35
P.O.T.A.T.O,The meaning of P,slang_to_standard,urban_dictionary_mega,0.0,11,16,1,4
P.O.T.A.T.O,"-Bro I just got this P.O.T.A.T.O
- [Nice dude] now you can use it on your frame to be [a little bitch] like the rest of these weaklings using [mods]",slang_to_standard,urban_dictionary_mega,0.0,11,149,1,30
....,Until now,slang_to_standard,urban_dictionary_mega,0.0,4,9,1,2
crapjob,When you shit in a girls they give you a,slang_to_standard,urban_dictionary_mega,0.0,7,40,1,10
crapjob,[That guy] is [disgusting]! [I heard] he loves getting a good crapjob!,slang_to_standard,urban_dictionary_mega,0.0,7,70,1,12
Maxwell,of a man,slang_to_standard,urban_dictionary_mega,0.0,7,8,1,3
Maxwell,"[God damn], is that Maxwell?",slang_to_standard,urban_dictionary_mega,0.0,7,28,1,5
ebonics,"It's a mix between and , and though people say its racist, it was truly meant for the African American culture",slang_to_standard,urban_dictionary_mega,0.0,7,110,1,21
cacas,The for “,slang_to_standard,urban_dictionary_mega,0.0,5,9,1,3
post cum; after spooge,amount of semen that oozes from the penis up to after,slang_to_standard,urban_dictionary_mega,0.0,22,53,4,11
yzzerdd,A term that originated from the show used to friends that can sometimes cause your harddrive to,slang_to_standard,urban_dictionary_mega,0.0,7,95,1,17
yzzerdd,"[rofl]: did you yzzerdd chris yet?

lol: yeah but he just called and said his harddrive [crashed] and he said he's going to beat our asses [tommarow]

rofl: FUCK!",slang_to_standard,urban_dictionary_mega,0.0,7,166,1,29
adsfads,A of that can be used for passwords,slang_to_standard,urban_dictionary_mega,0.0,7,35,1,8
clickco,"Your person but, with of",slang_to_standard,urban_dictionary_mega,0.0,7,24,1,5
connor,"Someone who is very , doesn't know anything",slang_to_standard,urban_dictionary_mega,0.0,6,43,1,8
connor,"Man [that guy] is such a [Connor], he can't do [anything] right.",slang_to_standard,urban_dictionary_mega,0.0,6,64,1,12
grinder,a container filled with small nails or little into the insides to help grind marijuana up to make rolling blunts easier,slang_to_standard,urban_dictionary_mega,0.0,7,119,1,21
Steeevil,", only comes out when drunk",slang_to_standard,urban_dictionary_mega,0.0,8,27,1,6
Steeevil,"""Damn... Steeevil is cool, until he croses that line into the DRUNK [zone]!  Oh, what the hell, [let's get] more [shots] anyway.""",slang_to_standard,urban_dictionary_mega,0.0,8,129,1,22
Friend Christmas,An annual gathering of the most fabulous motherfuckers in,slang_to_standard,urban_dictionary_mega,0.0,16,57,2,9
